,MATNO,GENDER,N FAIL,C FAIL,FAILED COURSES,TMC 211,PHY 232,MAT 213,MAT 212,GST 211,EDS 211,ECN 111,DLD 111,CSC 216,CSC 214,CSC 213,CSC 211,CIT 211,TOT WTS,TOT UNIT,GPA,PRE WTS,PRE UNIT,CUMWTS,CUMUNIT,CGPA,STAND,CLASS
81,64dfb20727408f05b38023fb07869ef7,M,1.0,0.0,TMC212 (0V),57.0,45.0,,59.0,57.0,59.0,71.0,63.0,64.0,61.0,56.0,51.0,60.0,84.0,25.0,3.36,200.0,51.0,284.0,76.0,3.74,GS,2|1
82,7cc1924fa65030af00677d840ffef278,F,1.0,0.0,TMC212 (0V),87.0,75.0,,88.0,49.0,71.0,,72.0,80.0,78.0,74.0,76.0,61.0,119.0,25.0,4.76,245.0,51.0,364.0,76.0,4.79,GS,1st
83,22649d2056f80deb4177651963fce232,M,3.0,6.0,"MAT111 (3C); PHY232 (3C);
TMC212 (0V)",53.0,36.0,,63.0,,64.0,,66.0,65.0,65.0,72.0,54.0,68.0,71.0,25.0,2.84,174.0,51.0,245.0,76.0,3.22,GS,2|2
84,2023be10b708798c40fc53391dfb79a8,F,2.0,0.0,CIT211 (0C); TMC212 (0V),93.0,78.0,,82.0,70.0,65.0,,79.0,85.0,74.0,86.0,72.0,39.0,121.0,25.0,4.84,235.0,51.0,356.0,76.0,4.68,GS,1st
85,ea7d0780c08067a9448449b1c81967f3,M,11.0,27.0,"CHM111 (3C); CSC121 (3C); CSC125 (3C); CSC211 (3C); CSC213 (3C); CSC214 (3C);
CSC216 (3C); DLD111 (0V); MAT212
(3C); PHY232 (3C); TMC212 (0V)",52.0,30.0,,36.0,47.0,49.0,,40.0,20.0,0.0,0.0,28.0,50.0,9.0,25.0,0.36,138.0,51.0,147.0,76.0,1.93,NGS,3rd
86,b9b768834a84475f49d8972d73116e19,M,8.0,18.0,"CSC213 (3C); CSC214 (3C);
CSC216 (3C); ECN111 (3E); GST211 (2U); MAT212 (3C); TMC211 (1V); TMC212 (0V)",43.0,56.0,,33.0,33.0,46.0,0.0,45.0,0.0,0.0,0.0,45.0,,17.0,25.0,0.68,217.0,51.0,234.0,76.0,3.08,GS,2|2
87,c5373d58ca9f8b90adad6d88068b2d4e,M,3.0,5.0,"CSC231 (3E); MAT122 (2C);
TMC212 (0V)",51.0,55.0,,76.0,46.0,57.0,,52.0,67.0,69.0,67.0,55.0,63.0,79.0,25.0,3.16,197.0,51.0,276.0,76.0,3.63,GS,2|1
88,12c7a0b9402f451e3fe1fd62c2964ea0,M,1.0,0.0,TMC212 (0V),58.0,65.0,,80.0,45.0,61.0,,70.0,64.0,72.0,72.0,61.0,67.0,104.0,25.0,4.16,197.0,51.0,301.0,76.0,3.96,GS,2|1
89,5a5cba533285736844ffd78e8d2befd2,M,,,,,,,,,,,,,,,,,,,,,,,,,,
90,30a1a08f3a5f88131edd16ef54c5759e,M,1.0,0.0,TMC212 (0V),84.0,72.0,,82.0,56.0,77.0,65.0,73.0,81.0,80.0,63.0,70.0,59.0,115.0,25.0,4.6,245.0,51.0,360.0,76.0,4.74,GS,1st
91,5daf2b258711fbe797b282011f5ff182,F,3.0,6.0,"CSC213 (3C); PHY232 (3C);
TMC212 (0V)",59.0,36.0,,63.0,48.0,60.0,60.0,68.0,56.0,67.0,34.0,48.0,54.0,62.0,25.0,2.48,203.0,51.0,265.0,76.0,3.49,GS,2|2
92,d3f1ba42eec7a0dafa35dc059320fff9,F,1.0,0.0,TMC212 (0V),85.0,75.0,,73.0,59.0,77.0,72.0,90.0,83.0,82.0,53.0,71.0,61.0,115.0,25.0,4.6,226.0,51.0,341.0,76.0,4.49,GS,2|1
93,4df387fdaf406bd2255c4402c3f9a2ab,M,1.0,0.0,TMC212 (0V),70.0,77.0,,75.0,47.0,68.0,77.0,65.0,65.0,76.0,80.0,65.0,61.0,112.0,25.0,4.48,223.0,51.0,335.0,76.0,4.41,GS,2|1
94,b9b3a68c75cf2305ae8114931f8ec969,M,2.0,6.0,MAT212 (3C); PHY232 (3C),59.0,33.0,,20.0,,55.0,,50.0,53.0,50.0,50.0,50.0,,62.0,25.0,2.48,156.0,51.0,218.0,76.0,2.87,GS,2|2
95,8fb6de965b89144dfc44cf3c61914462,F,1.0,0.0,TMC212 (0V),88.0,80.0,,86.0,57.0,65.0,,80.0,70.0,85.0,86.0,70.0,65.0,120.0,25.0,4.8,245.0,51.0,365.0,76.0,4.8,GS,1st
96,18995e3be4d6331506c493a8e126acab,M,,,,,,,,,,,,,,,,,,,,,,,,,,
97,83584185ba01fc95e1e47ff544cd801b,M,1.0,0.0,TMC212 (0V),72.0,47.0,,66.0,45.0,73.0,50.0,52.0,58.0,58.0,50.0,50.0,64.0,77.0,25.0,3.08,201.0,51.0,278.0,76.0,3.66,GS,2|1
98,de544df9a9b8c5aa64bb06d4f1d7895e,M,1.0,0.0,TMC212 (0V),74.0,76.0,,73.0,50.0,65.0,70.0,73.0,75.0,83.0,80.0,64.0,66.0,117.0,25.0,4.68,214.0,51.0,331.0,76.0,4.36,GS,2|1
99,3c6341211ecdb1ad012e3f4552c9b1ff,F,1.0,0.0,TMC212 (0V),61.0,78.0,,87.0,52.0,62.0,,73.0,73.0,87.0,90.0,73.0,62.0,116.0,25.0,4.64,249.0,51.0,365.0,76.0,4.8,GS,1st
100,b3919955bb5f80e5a4607a6655ce7103,F,1.0,0.0,TMC212 (0V),95.0,93.0,,92.0,82.0,87.0,,91.0,88.0,95.0,79.0,75.0,76.0,125.0,25.0,5.0,255.0,51.0,380.0,76.0,5.0,GS,1st
101,933910ac0f2c335ee3afad9a72b5834b,F,1.0,0.0,TMC212 (0V),88.0,75.0,,76.0,54.0,72.0,67.0,80.0,71.0,82.0,69.0,72.0,67.0,115.0,25.0,4.6,220.0,51.0,335.0,76.0,4.41,GS,2|1
102,d1dfad6800d95701bbd585292607b55f,M,1.0,0.0,TMC212 (0V),85.0,73.0,,92.0,70.0,70.0,,73.0,77.0,86.0,87.0,73.0,63.0,125.0,25.0,5.0,250.0,51.0,375.0,76.0,4.93,GS,1st
103,2bf43828300c51ccc0156f7e5f3e4b11,M,1.0,0.0,TMC212 (0V),85.0,58.0,,73.0,48.0,64.0,71.0,67.0,69.0,66.0,64.0,67.0,77.0,100.0,25.0,4.0,233.0,51.0,333.0,76.0,4.38,GS,2|1
104,055acc0c98ab39fb1a736cca08fcbb5e,M,1.0,0.0,TMC212 (0V),62.0,80.0,,88.0,71.0,76.0,77.0,82.0,75.0,85.0,77.0,70.0,66.0,124.0,25.0,4.96,253.0,51.0,377.0,76.0,4.96,GS,1st
105,2156290b4e3a8ad8916308f266e3b242,F,1.0,0.0,TMC212 (0V),87.0,90.0,,84.0,53.0,75.0,,82.0,79.0,82.0,80.0,68.0,65.0,118.0,25.0,4.72,224.0,51.0,342.0,76.0,4.5,GS,1st
106,863e6f25c7d4ee7c296180b00aa877b2,M,5.0,12.0,"CSC125 (3C); CSC213 (3C); CSC214 (3C); CSC216 (3C);
TMC212 (0V)",76.0,67.0,,81.0,47.0,67.0,68.0,54.0,38.0,0.0,0.0,47.0,52.0,58.0,25.0,2.32,189.0,51.0,247.0,76.0,3.25,GS,2|2
107,1abcdde8d52e30bd6e89b08dfb934a76,M,2.0,3.0,CSC231 (3E); TMC212 (0V),77.0,55.0,,61.0,54.0,58.0,,74.0,64.0,70.0,56.0,56.0,61.0,80.0,25.0,3.2,194.0,51.0,274.0,76.0,3.61,GS,2|1
108,f1ec35bfc14389c7d3e4d7e202d0d3df,M,1.0,0.0,TMC212 (0V),74.0,58.0,,83.0,51.0,72.0,,68.0,84.0,79.0,70.0,70.0,64.0,109.0,25.0,4.36,239.0,51.0,348.0,76.0,4.58,GS,1st
109,856c7b977ab16d79c01e430640c57aed,M,3.0,4.0,CSC231 (3E); EDS211 (1V); TMC212 (0V),71.0,52.0,,76.0,46.0,42.0,,46.0,64.0,70.0,53.0,62.0,65.0,102.0,30.0,3.4,168.0,46.0,270.0,76.0,3.55,GS,2|1
